É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/06/04 17:48:18

,,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË
2023/5/16,âŒ,21.5,8,1,28.3,8,1,15.6,8,1,12.5,0,8,1,1012.2,8,1,,0,1,5.8,8,ìåìÏìå,8,1,2.6,8,1,0,1,8,1
2023/5/17,êÖ,22.9,8,1,27.9,8,1,17.4,8,1,11.0,0,8,1,1014.7,8,1,,0,1,4.9,8,ìåìÏìå,8,1,2.4,8,1,0,1,8,1
2023/5/18,ñÿ,19.4,8,1,22.8,8,1,16.9,8,1,0.0,0,8,1,1011.4,8,1,,0,1,5.7,8,ñkìå,8,1,2.8,8,1,34.5,0,8,1
2023/5/19,ã‡,20.0,8,1,24.1,8,1,17.5,8,1,1.8,0,8,1,1002.6,8,1,,0,1,6.3,8,ìåìÏìå,8,1,3.0,8,1,6.0,0,8,1
2023/5/20,ìy,22.1,8,1,25.7,8,1,19.4,8,1,8.2,0,8,1,1006.8,8,1,,0,1,5.8,8,ìå,8,1,2.5,8,1,0,1,8,1
2023/5/21,ì˙,22.7,8,1,26.6,8,1,20.0,8,1,11.5,0,8,1,1007.6,8,1,,0,1,6.8,8,ìåìÏìå,8,1,2.5,8,1,0,1,8,1
2023/5/22,åé,21.6,8,1,26.7,8,1,18.2,8,1,8.1,0,8,1,1003.7,8,1,,0,1,6.0,8,ìå,8,1,3.1,8,1,6.0,0,8,1
2023/5/23,âŒ,21.4,8,1,25.8,8,1,16.7,8,1,9.4,0,8,1,1003.8,8,1,,0,1,6.5,8,ìåñkìå,8,1,2.8,8,1,0.0,0,8,1
2023/5/24,êÖ,18.7,8,1,23.7,8,1,12.8,8,1,11.6,0,8,1,1012.4,8,1,,0,1,6.4,8,ìå,8,1,3.2,8,1,0,1,8,1
2023/5/25,ñÿ,20.2,8,1,24.1,8,1,16.6,8,1,4.3,0,8,1,1017.3,8,1,,0,1,5.7,8,ìå,8,1,2.9,8,1,0,1,8,1
2023/5/26,ã‡,21.6,8,1,25.8,8,1,18.1,8,1,9.6,0,8,1,1019.6,8,1,,0,1,6.4,8,ìåìÏìå,8,1,3.0,8,1,0.0,0,8,1
2023/5/27,ìy,21.8,8,1,24.7,8,1,20.1,8,1,4.1,0,8,1,1019.6,8,1,,0,1,7.5,8,ìå,8,1,4.2,8,1,0,1,8,1
2023/5/28,ì˙,21.3,8,1,23.7,8,1,19.6,8,1,0.0,0,8,1,1016.7,8,1,,0,1,4.1,8,ìå,8,1,2.0,8,1,1.5,0,8,1
2023/5/29,åé,27.1,8,1,34.0,8,1,19.9,8,1,10.3,0,8,1,1010.8,8,1,,0,1,7.9,8,êºìÏêº,8,1,3.2,8,1,0.0,0,8,1
2023/5/30,âŒ,25.7,8,1,30.9,8,1,22.8,8,1,3.6,0,8,1,1007.5,8,1,,0,1,7.3,8,ìÏêº,8,1,3.6,8,1,0,1,8,1
2023/5/31,êÖ,19.8,8,1,23.0,8,1,18.6,8,1,0.0,0,8,1,1009.1,8,1,,0,1,5.3,8,ñkìå,8,1,2.5,8,1,40.5,0,8,1
2023/6/1,ñÿ,19.9,8,1,21.1,8,1,18.6,8,1,0.0,0,8,1,1007.9,8,1,,0,1,4.0,8,ñkìå,8,1,1.4,8,1,53.5,0,8,1
2023/6/2,ã‡,22.1,8,1,23.4,8,1,20.4,8,1,0.0,0,8,1,996.8,8,1,,0,1,6.5,8,ñkìå,8,1,3.1,8,1,148.0,0,8,1
2023/6/3,ìy,23.7,8,1,29.6,8,1,18.4,8,1,12.7,0,8,1,1002.4,8,1,,0,1,7.3,8,ìåìÏìå,8,1,3.0,8,1,0,1,8,1
2023/6/4,ì˙,22.2,8,1,27.8,8,1,16.9,8,1,13.2,0,8,1,1009.3,8,1,,0,1,5.5,8,ìåìÏìå,8,1,3.2,8,1,0,1,8,1
2023/6/5,åé,22.1,8,1,27.7,8,1,17.5,8,1,1.1,0,8,1,1009.9,8,1,,0,1,4.4,8,ìåìÏìå,8,1,2.3,8,1,0.0,0,8,1
2023/6/6,âŒ,17.5,8,1,21.1,8,1,15.8,8,1,0.0,0,8,1,1006.6,8,1,,0,1,5.9,8,ñkêº,8,1,1.7,8,1,96.5,0,8,1
2023/6/7,êÖ,21.9,8,1,26.8,8,1,16.4,8,1,6.2,0,8,1,1008.7,8,1,,0,1,3.8,8,ìåìÏìå,8,1,1.9,8,1,0,1,8,1
2023/6/8,ñÿ,20.3,8,1,23.0,8,1,19.2,8,1,0.0,0,8,1,1005.3,8,1,,0,1,6.0,8,êºìÏêº,8,1,2.1,8,1,82.5,0,8,1
2023/6/9,ã‡,22.0,8,1,25.2,8,1,19.5,8,1,1.4,0,8,1,1004.8,8,1,,0,1,7.8,8,êº,8,1,2.4,8,1,0.0,0,8,1
2023/6/10,ìy,19.7,8,1,20.9,8,1,18.7,8,1,0.0,0,8,1,1007.7,8,1,,0,1,4.6,8,ìå,8,1,1.7,8,1,72.5,0,8,1
2023/6/11,ì˙,21.5,8,1,23.7,8,1,20.2,8,1,0.0,0,8,1,1006.5,8,1,,0,1,4.7,8,ìå,8,1,2.0,8,1,44.5,0,8,1
2023/6/12,åé,22.5,8,1,25.4,8,1,20.5,8,1,0.1,0,8,1,1004.4,8,1,,0,1,5.8,8,ìåñkìå,8,1,2.2,8,1,2.0,0,8,1
2023/6/13,âŒ,23.6,8,1,26.6,8,1,21.2,8,1,1.1,0,8,1,1003.7,8,1,,0,1,5.4,8,ìåìÏìå,8,1,2.4,8,1,7.0,0,8,1
2023/6/14,êÖ,23.2,8,1,24.5,8,1,22.1,8,1,0.1,0,8,1,1004.0,8,1,,0,1,3.8,8,ñkñkìå,8,1,1.8,8,1,6.0,0,8,1
2023/6/15,ñÿ,22.4,8,1,26.5,8,1,20.2,8,1,3.9,0,8,1,1006.5,8,1,,0,1,4.1,8,ìåìÏìå,8,1,1.9,8,1,5.5,0,8,1
2023/6/16,ã‡,22.6,8,1,26.9,8,1,18.2,8,1,6.8,0,8,1,1011.8,8,1,,0,1,5.1,8,êºñkêº,8,1,2.5,8,1,0,1,8,1
2023/6/17,ìy,23.8,8,1,29.2,8,1,19.6,8,1,6.2,0,8,1,1012.5,8,1,,0,1,4.3,8,ìÏìÏêº,8,1,2.2,8,1,0,1,8,1
2023/6/18,ì˙,21.4,8,1,22.5,8,1,20.5,8,1,0.0,0,8,1,1006.6,8,1,,0,1,3.9,8,êºñkêº,8,1,1.6,8,1,13.5,0,8,1
2023/6/19,åé,24.3,8,1,29.7,8,1,19.0,8,1,12.9,0,8,1,1003.3,8,1,,0,1,4.8,8,ìåìÏìå,8,1,2.8,8,1,0.0,0,8,1
2023/6/20,âŒ,24.5,8,1,28.3,8,1,20.6,8,1,5.4,0,8,1,1005.6,8,1,,0,1,5.8,8,ìåìÏìå,8,1,2.7,8,1,0.0,0,8,1
2023/6/21,êÖ,23.3,8,1,24.3,8,1,22.5,8,1,0.0,0,8,1,1004.3,8,1,,0,1,5.1,8,ìåìÏìå,8,1,2.8,8,1,30.5,0,8,1
2023/6/22,ñÿ,25.6,8,1,31.4,8,1,21.0,8,1,11.7,0,8,1,1002.0,8,1,,0,1,7.4,8,êº,8,1,4.3,8,1,0,1,8,1
2023/6/23,ã‡,25.3,8,1,29.7,8,1,20.9,8,1,6.9,0,8,1,1007.6,8,1,,0,1,6.7,8,ìåìÏìå,8,1,3.5,8,1,0,1,8,1
2023/6/24,ìy,24.6,8,1,27.9,8,1,21.8,8,1,2.2,0,8,1,1012.5,8,1,,0,1,4.7,8,ìå,8,1,2.3,8,1,0.0,0,8,1
2023/6/25,ì˙,23.7,8,1,26.2,8,1,22.2,8,1,0.0,0,8,1,1013.8,8,1,,0,1,3.7,8,ñkêº,8,1,1.2,8,1,7.0,0,8,1
2023/6/26,åé,27.4,8,1,32.7,8,1,22.2,8,1,6.1,0,8,1,1012.5,8,1,,0,1,5.3,8,êº,8,1,2.4,8,1,0,1,8,1
2023/6/27,âŒ,29.0,8,1,34.7,8,1,23.7,8,1,8.0,0,8,1,1012.9,8,1,,0,1,6.9,8,êºìÏêº,8,1,3.6,8,1,0.0,0,8,1
2023/6/28,êÖ,28.8,8,1,33.6,8,1,25.2,8,1,6.0,0,8,1,1011.3,8,1,,0,1,7.6,8,êºìÏêº,8,1,3.9,8,1,0.0,0,8,1
2023/6/29,ñÿ,29.1,8,1,34.0,8,1,25.6,8,1,5.9,0,8,1,1007.9,8,1,,0,1,9.3,8,êºìÏêº,8,1,4.1,8,1,0.0,0,8,1
2023/6/30,ã‡,27.8,8,1,31.9,8,1,26.0,8,1,1.7,0,8,1,1005.2,8,1,,0,1,8.3,8,êºìÏêº,8,1,3.7,8,1,13.5,0,8,1
2023/7/1,ìy,25.1,8,1,27.5,8,1,23.8,8,1,0.1,0,8,1,1006.0,8,1,,0,1,7.3,8,êºìÏêº,8,1,2.5,8,1,75.0,0,8,1
2023/7/2,ì˙,27.6,8,1,32.7,8,1,23.6,8,1,5.0,0,8,1,1008.3,8,1,,0,1,7.0,8,êºìÏêº,8,1,3.4,8,1,0.5,0,8,1
2023/7/3,åé,23.6,8,1,28.1,8,1,21.8,8,1,0.0,0,8,1,1006.4,8,1,,0,1,6.2,8,ñkìå,8,1,2.0,8,1,186.5,0,8,1
2023/7/4,âŒ,24.5,8,1,28.4,8,1,22.0,8,1,0.9,0,8,1,1003.1,8,1,,0,1,4.8,8,ìåìÏìå,8,1,1.7,8,1,6.5,0,8,1
2023/7/5,êÖ,27.7,8,1,30.3,8,1,24.0,8,1,1.6,0,8,1,999.1,8,1,,0,1,7.7,8,êºìÏêº,8,1,4.1,8,1,0.0,0,8,1
2023/7/6,ñÿ,28.0,8,1,30.5,8,1,25.8,8,1,7.7,0,8,1,1003.1,8,1,,0,1,5.3,8,êºìÏêº,8,1,2.7,8,1,0.0,0,8,1
2023/7/7,ã‡,29.0,8,1,34.3,8,1,25.1,8,1,3.1,0,8,1,1005.4,8,1,,0,1,7.6,8,êºìÏêº,8,1,3.1,8,1,9.5,0,8,1
2023/7/8,ìy,30.4,8,1,33.7,8,1,28.1,8,1,6.7,0,8,1,1006.1,8,1,,0,1,9.4,8,êºìÏêº,8,1,5.4,8,1,0.0,0,8,1
2023/7/9,ì˙,30.5,8,1,34.1,8,1,28.0,8,1,8.3,0,8,1,1007.1,8,1,,0,1,9.1,8,êºìÏêº,8,1,5.5,8,1,0.0,0,8,1
2023/7/10,åé,31.0,8,1,35.3,8,1,28.0,8,1,11.1,0,8,1,1008.3,8,1,,0,1,8.5,8,êºìÏêº,8,1,5.0,8,1,0.0,0,8,1
2023/7/11,âŒ,29.4,8,1,35.9,8,1,25.9,8,1,8.7,0,8,1,1009.6,8,1,,0,1,7.3,8,êºìÏêº,8,1,3.9,8,1,0.0,0,8,1
2023/7/12,êÖ,29.7,8,1,33.9,8,1,26.1,8,1,8.1,0,8,1,1008.9,8,1,,0,1,9.0,8,êºìÏêº,8,1,4.2,8,1,0.0,0,8,1
2023/7/13,ñÿ,30.4,8,1,34.8,8,1,26.4,8,1,10.4,0,8,1,1008.6,8,1,,0,1,8.1,5,êºìÏêº),5,1,4.1,5,1,0.0,0,8,1
2023/7/14,ã‡,29.2,8,1,33.1,8,1,25.1,8,1,1.4,0,8,1,1008.3,8,1,,0,1,7.4,8,êº,8,1,2.7,8,1,0,1,8,1
2023/7/15,ìy,29.4,8,1,34.7,8,1,25.0,8,1,7.7,0,8,1,1007.9,8,1,,0,1,8.0,8,êº,8,1,2.8,8,1,0.0,0,8,1
2023/7/16,ì˙,28.7,8,1,32.9,8,1,24.4,8,1,11.8,0,8,1,1010.7,8,1,,0,1,6.7,8,ìÏìå,8,1,2.7,8,1,0.0,0,8,1
2023/7/17,åé,28.4,8,1,31.9,8,1,23.9,8,1,12.3,0,8,1,1013.1,8,1,,0,1,6.8,8,ìÏìå,8,1,3.0,8,1,0,1,8,1
2023/7/18,âŒ,29.1,8,1,34.8,8,1,25.0,8,1,10.1,0,8,1,1011.8,8,1,,0,1,6.1,8,ìåìÏìå,8,1,2.7,8,1,0,1,8,1
2023/7/19,êÖ,29.0,8,1,33.6,8,1,25.6,8,1,4.4,0,8,1,1006.2,8,1,,0,1,8.1,8,êº,8,1,3.4,8,1,3.5,0,8,1
2023/7/20,ñÿ,27.9,8,1,31.1,8,1,25.9,8,1,3.1,0,8,1,1006.1,8,1,,0,1,5.5,8,ìåìÏìå,8,1,2.9,8,1,0.0,0,8,1
2023/7/21,ã‡,26.8,8,1,30.2,8,1,24.8,8,1,0.9,0,8,1,1011.1,8,1,,0,1,4.2,8,ìå,8,1,1.8,8,1,0.0,0,8,1
2023/7/22,ìy,27.5,8,1,31.1,8,1,24.2,8,1,2.9,0,8,1,1014.2,8,1,,0,1,5.0,8,ìåìÏìå,8,1,2.1,8,1,0,1,8,1
2023/7/23,ì˙,27.9,8,1,31.8,8,1,25.5,8,1,4.0,0,8,1,1012.7,8,1,,0,1,5.7,8,ìåìÏìå,8,1,2.3,8,1,0.0,0,8,1
2023/7/24,åé,27.1,8,1,32.0,8,1,23.7,8,1,6.7,0,8,1,1011.9,8,1,,0,1,6.1,8,ìåìÏìå,8,1,2.4,8,1,0.5,0,8,1
2023/7/25,âŒ,27.3,8,1,31.9,8,1,24.1,8,1,6.0,0,8,1,1013.9,8,1,,0,1,6.6,8,ìåìÏìå,8,1,2.4,8,1,6.5,0,8,1
2023/7/26,êÖ,28.3,8,1,32.1,8,1,24.8,8,1,10.0,0,8,1,1014.7,8,1,,0,1,4.8,8,ìå,8,1,2.5,8,1,0.0,0,8,1
2023/7/27,ñÿ,28.6,8,1,32.8,8,1,24.6,8,1,9.7,0,8,1,1013.5,8,1,,0,1,5.7,8,ìåìÏìå,8,1,2.5,8,1,0,1,8,1
2023/7/28,ã‡,28.4,8,1,32.6,8,1,24.8,8,1,9.9,0,8,1,1013.4,8,1,,0,1,5.2,8,ìåìÏìå,8,1,2.7,8,1,0,1,8,1
2023/7/29,ìy,28.4,8,1,32.3,8,1,24.9,8,1,8.7,0,8,1,1013.8,8,1,,0,1,6.8,8,ìå,8,1,3.1,8,1,0.0,0,8,1
2023/7/30,ì˙,26.9,8,1,30.4,8,1,23.0,8,1,3.1,0,8,1,1013.1,8,1,,0,1,6.6,8,ìåñkìå,8,1,2.8,8,1,39.0,0,8,1
2023/7/31,åé,27.6,8,1,30.5,8,1,24.9,8,1,0.9,0,8,1,1010.9,8,1,,0,1,7.0,8,ìåñkìå,8,1,3.4,8,1,9.5,0,8,1
2023/8/1,âŒ,28.5,8,1,31.3,8,1,26.4,8,1,2.4,0,8,1,1009.0,8,1,,0,1,8.0,8,ìå,8,1,4.7,8,1,26.5,0,8,1
2023/8/2,êÖ,28.0,8,1,31.4,8,1,24.9,8,1,4.4,0,8,1,1007.8,8,1,,0,1,7.2,8,ìåìÏìå,8,1,4.1,8,1,24.0,0,8,1
2023/8/3,ñÿ,28.1,8,1,31.4,8,1,26.4,8,1,7.1,0,8,1,1006.5,8,1,,0,1,7.2,8,ìåìÏìå,8,1,3.8,8,1,7.5,0,8,1
2023/8/4,ã‡,27.7,8,1,31.0,8,1,25.7,8,1,3.9,0,8,1,1004.4,8,1,,0,1,7.5,8,ìåìÏìå,8,1,3.5,8,1,9.0,0,8,1
2023/8/5,ìy,27.6,8,1,29.8,8,1,25.6,8,1,0.7,0,8,1,999.1,8,1,,0,1,6.1,8,ìåìÏìå,8,1,3.4,8,1,22.0,0,8,1
2023/8/6,ì˙,28.4,8,1,30.9,8,1,26.7,8,1,1.2,0,8,1,994.6,8,1,,0,1,8.9,8,ìåñkìå,8,1,5.4,8,1,15.0,0,8,1
2023/8/7,åé,28.3,8,1,30.7,8,1,26.3,8,1,2.3,0,8,1,994.2,8,1,,0,1,10.0,8,ìåñkìå,8,1,6.5,8,1,14.5,0,8,1
2023/8/8,âŒ,28.0,8,1,29.7,8,1,27.0,8,1,0.1,0,8,1,993.8,8,1,,0,1,13.7,8,ìå,8,1,9.3,8,1,98.0,0,8,1
2023/8/9,êÖ,27.3,8,1,28.6,8,1,26.1,8,1,0.0,0,8,1,994.3,8,1,,0,1,13.5,8,ìå,8,1,10.2,8,1,163.0,0,8,1
2023/8/10,ñÿ,28.8,8,1,32.7,8,1,26.3,8,1,3.6,0,8,1,999.2,8,1,,0,1,8.5,8,ìÏìÏìå,8,1,3.2,8,1,78.5,0,8,1
2023/8/11,ã‡,27.8,8,1,31.2,8,1,25.6,8,1,7.7,0,8,1,1003.1,8,1,,0,1,5.9,8,ìå,8,1,2.4,8,1,0.0,0,8,1
2023/8/12,ìy,28.0,8,1,31.3,8,1,24.8,8,1,10.8,0,8,1,1002.9,8,1,,0,1,4.6,8,ìåìÏìå,8,1,2.4,8,1,0.0,0,8,1
2023/8/13,ì˙,28.4,8,1,32.5,8,1,24.1,8,1,12.5,0,8,1,1001.4,8,1,,0,1,4.9,8,ìåìÏìå,8,1,2.6,8,1,0,1,8,1
2023/8/14,åé,29.7,8,1,35.5,8,1,25.4,8,1,11.7,0,8,1,999.7,8,1,,0,1,8.2,8,ìå,8,1,3.4,8,1,0,1,8,1
2023/8/15,âŒ,29.4,8,1,34.9,8,1,25.7,8,1,8.4,0,8,1,998.7,8,1,,0,1,5.5,8,ìåìÏìå,8,1,2.6,8,1,0,1,8,1
2023/8/16,êÖ,27.4,8,1,30.1,8,1,25.6,8,1,0.1,0,8,1,1001.6,8,1,,0,1,5.2,8,ìåñkìå,8,1,2.1,8,1,2.0,0,8,1
2023/8/17,ñÿ,27.3,8,1,32.2,8,1,24.4,8,1,5.1,0,8,1,1002.7,8,1,,0,1,5.5,8,ìåìÏìå,8,1,2.2,8,1,2.0,0,8,1
2023/8/18,ã‡,26.3,8,1,28.3,8,1,25.1,8,1,0.0,0,8,1,1006.0,8,1,,0,1,4.5,8,ìåìÏìå,8,1,1.8,8,1,223.5,0,8,1
2023/8/19,ìy,28.3,8,1,31.5,8,1,25.7,8,1,10.3,0,8,1,1009.8,8,1,,0,1,6.0,8,ìåìÏìå,8,1,2.3,8,1,50.5,0,8,1
2023/8/20,ì˙,28.9,8,1,32.6,8,1,25.6,8,1,11.3,0,8,1,1010.1,8,1,,0,1,4.4,8,ìåìÏìå,8,1,2.0,8,1,0,1,8,1
2023/8/21,åé,28.6,8,1,32.8,8,1,24.8,8,1,10.6,0,8,1,1008.3,8,1,,0,1,5.0,8,ìå,8,1,2.6,8,1,0,1,8,1
2023/8/22,âŒ,27.6,8,1,32.8,8,1,24.6,8,1,3.4,0,8,1,1006.3,8,1,,0,1,6.0,8,ìå,8,1,2.5,8,1,11.0,0,8,1
2023/8/23,êÖ,27.6,8,1,31.3,8,1,24.2,8,1,3.5,0,8,1,1006.4,8,1,,0,1,4.6,8,ìå,8,1,1.8,8,1,3.0,0,8,1
2023/8/24,ñÿ,27.3,8,1,32.3,8,1,24.5,8,1,5.9,0,8,1,1008.5,8,1,,0,1,6.7,8,ìåìÏìå,8,1,2.4,8,1,0.0,0,8,1
2023/8/25,ã‡,26.2,8,1,28.9,8,1,24.4,8,1,0.4,0,8,1,1008.0,8,1,,0,1,5.4,8,ìåñkìå,8,1,2.0,8,1,1.0,0,8,1
2023/8/26,ìy,27.1,8,1,31.4,8,1,23.7,8,1,8.1,0,8,1,1006.9,8,1,,0,1,5.8,8,ñkìå,8,1,2.9,8,1,4.5,0,8,1
2023/8/27,ì˙,26.8,8,1,30.6,8,1,23.9,8,1,4.7,0,8,1,1006.0,8,1,,0,1,6.4,8,ìåñkìå,8,1,2.5,8,1,12.5,0,8,1
2023/8/28,åé,27.5,8,1,31.7,8,1,23.7,8,1,9.4,0,8,1,1007.3,8,1,,0,1,6.9,8,ìåìÏìå,8,1,2.9,8,1,0.5,0,8,1
2023/8/29,âŒ,27.2,8,1,31.5,8,1,24.0,8,1,6.6,0,8,1,1009.4,8,1,,0,1,7.2,8,ìåìÏìå,8,1,2.8,8,1,6.5,0,8,1
2023/8/30,êÖ,27.7,8,1,31.7,8,1,25.2,8,1,2.8,0,8,1,1009.0,8,1,,0,1,8.5,8,ìåìÏìå,8,1,4.1,8,1,23.0,0,8,1
2023/8/31,ñÿ,25.7,8,1,28.0,8,1,24.1,8,1,0.0,0,8,1,1010.4,8,1,,0,1,7.9,8,ìÏìÏìå,8,1,2.9,8,1,151.5,0,8,1
2023/9/1,ã‡,28.3,8,1,30.9,8,1,26.3,8,1,2.5,0,8,1,1010.7,8,1,,0,1,6.1,8,ìåìÏìå,8,1,3.3,8,1,0.5,0,8,1
2023/9/2,ìy,27.7,8,1,30.6,8,1,25.2,8,1,4.9,0,8,1,1010.1,8,1,,0,1,5.6,8,ìåìÏìå,8,1,2.6,8,1,2.0,0,8,1
2023/9/3,ì˙,27.3,8,1,31.5,8,1,23.9,8,1,10.5,0,8,1,1009.8,8,1,,0,1,5.4,8,ìåñkìå,8,1,2.8,8,1,3.0,0,8,1
2023/9/4,åé,28.9,8,1,34.8,8,1,22.9,8,1,11.4,0,8,1,1005.9,8,1,,0,1,4.8,8,ñkêº,8,1,2.8,8,1,0,1,8,1
2023/9/5,âŒ,26.5,8,1,30.0,8,1,24.4,8,1,3.1,0,8,1,1004.6,8,1,,0,1,7.1,8,ñkìå,8,1,3.5,8,1,5.5,0,8,1
2023/9/6,êÖ,27.5,8,1,32.1,8,1,23.5,8,1,8.1,0,8,1,1004.0,8,1,,0,1,4.4,8,ìåìÏìå,8,1,2.2,5,1,1.0,0,4,1
2023/9/7,ñÿ,27.7,8,1,31.8,8,1,24.1,8,1,11.7,0,8,1,1005.8,8,1,,0,1,7.3,8,ìåñkìå,8,1,2.9,8,1,0,1,4,1
2023/9/8,ã‡,26.4,8,1,31.9,8,1,23.7,8,1,4.1,0,8,1,1007.3,8,1,,0,1,6.2,8,ìåìÏìå,8,1,2.5,8,1,0.0,0,8,1
2023/9/9,ìy,26.3,8,1,30.2,8,1,22.8,8,1,9.9,0,8,1,1008.0,8,1,,0,1,4.8,8,ìåìÏìå,8,1,2.7,8,1,0,1,8,1
2023/9/10,ì˙,25.8,8,1,30.5,8,1,22.4,8,1,7.6,0,8,1,1008.2,8,1,,0,1,7.9,8,ìåñkìå,8,1,2.8,8,1,2.0,0,8,1
2023/9/11,åé,25.8,8,1,30.0,8,1,22.3,8,1,8.9,0,8,1,1007.9,8,1,,0,1,5.6,8,ìåìÏìå,8,1,2.4,8,1,3.5,0,8,1
2023/9/12,âŒ,26.0,8,1,30.5,8,1,22.7,8,1,3.9,0,8,1,1009.1,8,1,,0,1,6.1,8,ìå,8,1,2.6,8,1,3.5,0,8,1
2023/9/13,êÖ,25.0,8,1,27.1,8,1,23.7,8,1,0.2,0,8,1,1010.2,8,1,,0,1,4.7,8,ìåñkìå,8,1,2.1,8,1,68.5,0,8,1
2023/9/14,ñÿ,26.5,8,1,30.1,8,1,23.9,8,1,1.2,0,8,1,1010.9,8,1,,0,1,4.2,8,ìåìÏìå,8,1,1.6,8,1,4.0,0,8,1
2023/9/15,ã‡,27.4,8,1,31.1,8,1,24.4,8,1,8.1,0,8,1,1012.3,8,1,,0,1,6.1,8,ìÏìå,8,1,2.1,8,1,0,1,8,1
2023/9/16,ìy,27.9,8,1,32.1,8,1,24.1,8,1,9.2,0,8,1,1012.6,8,1,,0,1,5.4,8,ìÏìå,8,1,2.3,8,1,0,1,8,1
2023/9/17,ì˙,26.9,8,1,31.5,8,1,23.7,8,1,7.3,0,8,1,1011.8,8,1,,0,1,7.2,8,ìÏìå,8,1,2.4,8,1,5.5,0,8,1
2023/9/18,åé,26.8,8,1,31.5,8,1,23.5,8,1,6.7,0,8,1,1012.6,8,1,,0,1,6.1,8,ìåìÏìå,8,1,2.4,8,1,8.0,0,8,1
2023/9/19,âŒ,27.1,8,1,31.4,8,1,23.5,8,1,9.4,0,8,1,1013.2,8,1,,0,1,6.1,8,ìÏìå,8,1,2.2,8,1,0,1,8,1
2023/9/20,êÖ,27.7,8,1,31.5,8,1,23.8,8,1,8.1,0,8,1,1011.4,8,1,,0,1,5.8,8,ìÏìå,8,1,2.4,8,1,0,1,8,1
2023/9/21,ñÿ,28.6,8,1,34.6,8,1,24.6,8,1,7.1,0,8,1,1008.8,8,1,,0,1,8.5,8,êºìÏêº,8,1,4.0,8,1,0.0,0,8,1
2023/9/22,ã‡,27.1,8,1,30.3,8,1,24.5,8,1,6.6,0,8,1,1010.8,8,1,,0,1,5.4,8,ìåìÏìå,8,1,3.0,8,1,0.0,0,8,1
2023/9/23,ìy,24.7,8,1,27.6,8,1,21.4,8,1,0.2,0,8,1,1012.6,8,1,,0,1,5.5,8,ìåñkìå,8,1,2.7,8,1,29.5,0,8,1
2023/9/24,ì˙,25.1,8,1,28.5,8,1,22.4,8,1,9.8,0,8,1,1013.2,8,1,,0,1,8.1,8,ìåñkìå,8,1,3.7,8,1,0.5,0,8,1
2023/9/25,åé,24.8,8,1,28.3,8,1,22.6,8,1,0.7,0,8,1,1012.6,8,1,,0,1,5.5,8,ìåñkìå,8,1,2.8,8,1,15.5,0,8,1
2023/9/26,âŒ,26.2,8,1,29.4,8,1,23.9,8,1,2.4,0,8,1,1012.5,8,1,,0,1,5.6,8,ìå,8,1,2.7,8,1,1.0,0,8,1
2023/9/27,êÖ,26.1,8,1,30.9,8,1,22.0,8,1,9.4,0,8,1,1010.6,8,1,,0,1,5.0,8,ìÏìå,8,1,2.5,8,1,0,1,8,1
2023/9/28,ñÿ,26.8,8,1,30.6,8,1,23.2,8,1,10.1,0,8,1,1010.6,8,1,,0,1,5.4,8,ìåìÏìå,8,1,2.9,8,1,1.0,0,8,1
2023/9/29,ã‡,25.8,8,1,29.5,8,1,23.5,8,1,6.2,0,8,1,1011.2,8,1,,0,1,4.1,8,ìå,8,1,2.4,8,1,0.0,0,8,1
2023/9/30,ìy,27.0,8,1,32.8,8,1,23.1,8,1,9.1,0,8,1,1008.0,8,1,,0,1,4.6,8,êºìÏêº,8,1,2.4,8,1,0,1,8,1
2023/10/1,ì˙,24.9,8,1,27.1,8,1,21.6,8,1,0.9,0,8,1,1008.2,8,1,,0,1,4.4,8,ìå,8,1,2.7,8,1,0.0,0,8,1
2023/10/2,åé,21.9,8,1,26.9,8,1,17.7,8,1,9.4,0,8,1,1012.6,8,1,,0,1,6.3,8,ñkìå,8,1,2.6,8,1,0,1,8,1
2023/10/3,âŒ,22.4,8,1,27.0,8,1,16.7,8,1,3.6,0,8,1,1013.8,8,1,,0,1,5.7,8,ìåñkìå,8,1,2.8,8,1,0.0,0,8,1
2023/10/4,êÖ,23.8,8,1,27.8,8,1,21.0,8,1,1.1,0,8,1,1009.9,8,1,,0,1,4.0,8,ìåìÏìå,8,1,2.0,8,1,0.5,0,8,1
2023/10/5,ñÿ,23.2,8,1,28.2,8,1,17.2,8,1,5.2,0,8,1,1008.6,8,1,,0,1,5.6,8,êº,8,1,2.6,8,1,0.0,0,8,1
2023/10/6,ã‡,19.7,8,1,24.9,8,1,14.1,8,1,10.8,0,8,1,1014.0,8,1,,0,1,4.1,8,ìå,8,1,2.3,8,1,0,1,8,1
2023/10/7,ìy,20.2,8,1,25.3,8,1,17.6,8,1,0.9,0,8,1,1017.5,8,1,,0,1,5.0,8,ñkìå,8,1,2.6,8,1,4.0,0,8,1
