1,ЧяШaВQФNНСР®Т≤НЄБ@ПђТnИжПWМvБ@БiСНЦ±П»УЭМvЛ«Бj,,,,,,,,,,,
2,Сж1Х\Б@ТjПЧХ РlМыЛyВ—РҐС—РФБ|КоЦ{ТPИ Лж,,,,,,,,,,,
3,,,,,,,,,1) БuРlМыПWТЖТnЛжХДНЖБvВЌБCБu01БvВ≈В†ВкВќРlМыПWТЖТnЛжБCБu51БvВ≈В†ВкВќПАРlМыПWТЖТnЛжВ≈В†ВйВ±В∆ВрХ\ВЈБBВ»В®БCОsЛжТђСЇУаВ…РlМыПWТЖТnЛжВвПАРlМыПWТЖТnЛжВ™Х°РФСґНЁВЈВйПкНЗВЌБCРlМыВћСеВЂВҐРlМыПWТЖТnЛжВ©ВзБC01БC02БcБiПАРlМыПWТЖТnЛжВЌ51БC52БcБjВ∆ХtЧ^ВµВƒВҐВйБB,,,
4,,,,,,,,,РlМы,РlМы,РlМы,РҐС—РФ
4105,"45201","129002400","1636.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","УсТЪЦЏ","01",33,18,15,11
4106,"45201","129002410","1647.1.  ","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","УсТЪЦЏ","01",117,59,58,64
4107,"45201","129002420","1633.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","УсТЪЦЏ","01",50,24,26,19
4108,"45201","129002430","1634.1. 7","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","УсТЪЦЏ","01",33,18,15,16
4109,"45201","129002440","1625.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","УсТЪЦЏ","01",42,23,19,29
4110,"45201","129002450","1625.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","УсТЪЦЏ","01",22,7,15,17
4111,"45201","129003010","1642.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",13,5,8,6
4112,"45201","129003020","1642.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",10,3,7,6
4113,"45201","129003030","1642.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",14,8,6,7
4114,"45201","129003040","1642.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",37,16,21,20
4115,"45201","129003050","1642.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",53,28,25,24
4116,"45201","129003060","1643.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",54,27,27,20
4117,"45201","129003070","1644.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",13,7,6,6
4118,"45201","129003080","1643.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",20,7,13,11
4119,"45201","129003090","1643.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",31,12,19,11
4120,"45201","129003100","1646.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",28,15,13,10
4121,"45201","129003110","1643.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",40,16,24,19
4122,"45201","129003120","1644.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",36,17,19,18
4123,"45201","129003130","1644.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",19,8,11,8
4124,"45201","129003140","1644.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",37,14,23,22
4125,"45201","129003150","1644.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",23,11,12,9
4126,"45201","129003160","1646.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",19,9,10,10
4127,"45201","129003170","1646.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","01",31,16,15,12
4128,"45201","129003180","1646.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОOТЪЦЏ","",28,14,14,12
4129,"45201","129004010","1621.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",17,7,10,9
4130,"45201","129004020","1621.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",26,12,14,15
4131,"45201","129004030","1621.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",21,9,12,10
4132,"45201","129004040","1621.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",23,10,13,11
4133,"45201","129004050","1621.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",15,5,10,6
4134,"45201","129004060","1620.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",13,8,5,7
4135,"45201","129004070","1620.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",18,10,8,6
4136,"45201","129004080","1619.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",23,10,13,13
4137,"45201","129004090","1620.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",50,21,29,17
4138,"45201","129004100","1620.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",26,13,13,10
4139,"45201","129004110","1620.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",19,10,9,9
4140,"45201","129004120","1620.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",24,12,12,10
4141,"45201","129004130","1618.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",23,10,13,11
4142,"45201","129004140","1618.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",31,17,14,11
4143,"45201","129004150","1618.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",10,4,6,8
4144,"45201","129004160","1618.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",22,10,12,12
4145,"45201","129004170","1618.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",17,10,7,7
4146,"45201","129004180","1619.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",31,14,17,18
4147,"45201","129004190","1619.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",41,23,18,19
4148,"45201","129004200","1640.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",49,22,27,21
4149,"45201","129004210","1640.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",58,23,35,22
4150,"45201","129004220","1640.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",14,8,6,6
4151,"45201","129004230","1638.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",53,26,27,22
4152,"45201","129004240","1640.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",18,10,8,9
4153,"45201","129004250","1641.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",37,18,19,18
4154,"45201","129004260","1641.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",39,18,21,26
4155,"45201","129004270","1639.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",101,50,51,41
4156,"45201","129004280","1639.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОlТЪЦЏ","01",93,49,44,31
4157,"45201","129005010","1668.1.  ","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",99,56,43,71
4158,"45201","129005020","1665.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",-,-,-,-
4159,"45201","129005030","1665.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",46,20,26,27
4160,"45201","129005040","1665.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",34,14,20,16
4161,"45201","129005050","1664.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",86,34,52,41
4162,"45201","129005060","1663.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",57,24,33,24
4163,"45201","129005070","1662.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",25,8,17,18
4164,"45201","129005080","1658.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",22,10,12,7
4165,"45201","129005090","1658.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",23,10,13,10
4166,"45201","129005100","1658.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",10,3,7,5
4167,"45201","129005110","1658.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",38,19,19,15
4168,"45201","129005120","1659.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",42,21,21,16
4169,"45201","129005130","1659.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",45,19,26,19
4170,"45201","129005140","1659.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",32,10,22,17
4171,"45201","129005150","1658.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",37,20,17,21
4172,"45201","129005160","1660.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",15,4,11,8
4173,"45201","129005170","1660.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",12,6,6,6
4174,"45201","129005180","1660.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",24,10,14,11
4175,"45201","129005190","1659.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",41,18,23,16
4176,"45201","129005200","1661.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",36,17,19,20
4177,"45201","129005210","1661.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",54,26,28,31
4178,"45201","129005220","1660.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",16,6,10,6
4179,"45201","129005230","1660.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",1,-,1,1
4180,"45201","129005240","1660.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",30,17,13,11
4181,"45201","129005250","1661.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",27,13,14,12
4182,"45201","129005260","1660.1. 7","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",26,10,16,12
4183,"45201","129005270","1660.1. 8","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",14,5,9,7
4184,"45201","129005280","1660.1. 9","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",15,8,7,5
4185,"45201","129005290","1662.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",7,4,3,3
4186,"45201","129005300","1662.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",27,13,14,14
4187,"45201","129005310","1662.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",35,18,17,13
4188,"45201","129005320","1662.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",13,6,7,6
4189,"45201","129005330","1662.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",14,7,7,7
4190,"45201","129005340","1662.1. 7","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",26,11,15,11
4191,"45201","129005350","1663.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",13,6,7,6
4192,"45201","129005360","1663.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",9,3,6,4
4193,"45201","129005370","1663.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",16,7,9,6
4194,"45201","129005380","1663.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",20,7,13,10
4195,"45201","129005390","1664.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",28,11,17,13
4196,"45201","129005400","1664.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",32,13,19,13
4197,"45201","129005410","1663.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","М№ТЪЦЏ","01",19,9,10,8
4198,"45201","129006010","1657.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",72,32,40,36
4199,"45201","129006020","1657.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",31,16,15,10
4200,"45201","129006030","1656.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",22,12,10,9
4201,"45201","129006040","1656.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",41,20,21,14
4202,"45201","129006050","1656.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",29,11,18,16
4203,"45201","129006060","1657.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",42,23,19,14
4204,"45201","129006070","1654.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",69,40,29,44
4205,"45201","129006080","1654.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",22,9,13,11
4206,"45201","129006090","1655.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",34,13,21,17
4207,"45201","129006100","1655.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",64,30,34,40
4208,"45201","129006110","1655.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",36,18,18,14
4209,"45201","129006120","1656.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",53,26,27,27
4210,"45201","129006130","1652.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",28,20,8,11
4211,"45201","129006140","1652.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",23,13,10,8
4212,"45201","129006150","1652.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",18,10,8,8
4213,"45201","129006160","1652.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",35,17,18,13
4214,"45201","129006170","1651.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",17,7,10,7
4215,"45201","129006180","1651.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",69,29,40,35
4216,"45201","129006190","1652.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",32,13,19,16
4217,"45201","129006200","1652.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",21,9,12,10
4218,"45201","129006210","1653.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",27,13,14,14
4219,"45201","129006220","1653.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",30,11,19,18
4220,"45201","129006230","1653.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",21,11,10,10
4221,"45201","129006240","1653.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",35,17,18,11
4222,"45201","129006250","1653.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",23,11,12,12
4223,"45201","129006260","1653.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ШZТЪЦЏ","01",18,10,8,6
4224,"45201","129007010","2099.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",19,10,9,8
4225,"45201","129007020","2099.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",15,7,8,7
4226,"45201","129007030","2099.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",27,11,16,12
4227,"45201","129007040","2099.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",9,5,4,5
4228,"45201","129007050","2099.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",26,15,11,10
4229,"45201","129007060","2098.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",11,4,7,8
4230,"45201","129007070","2098.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",45,22,23,23
4231,"45201","129007080","2098.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",33,17,16,14
4232,"45201","129007090","2099.1. 6","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",17,6,11,8
4233,"45201","129007100","2097.1. 1","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",34,18,16,13
4234,"45201","129007110","2100.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",49,23,26,26
4235,"45201","129007120","2097.1. 2","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",23,10,13,9
4236,"45201","129007130","2097.1. 3","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",31,14,17,11
4237,"45201","129007140","2097.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",46,22,24,18
4238,"45201","129007150","2098.1. 4","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",36,17,19,18
4239,"45201","129007160","2098.1. 5","Л{НиМІ","Л{НиОs","МОМ©ГPЛu","ОµТЪЦЏ","01",12,6,6,5
4240,"45201","130001010","2078.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",14,7,7,7
4241,"45201","130001020","2078.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",32,16,16,9
4242,"45201","130001030","2079.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",15,6,9,7
4243,"45201","130001040","2079.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",9,3,6,4
4244,"45201","130001050","2080.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",18,8,10,8
4245,"45201","130001060","2080.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",26,16,10,17
4246,"45201","130001070","2079.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",29,15,14,13
4247,"45201","130001080","2079.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",17,11,6,7
4248,"45201","130001090","2079.1. 5","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",2,2,-,2
4249,"45201","130001100","2079.1. 6","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",5,3,2,3
4250,"45201","130001110","2079.1. 8","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",10,5,5,4
4251,"45201","130001120","2079.1. 7","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",31,18,13,13
4252,"45201","130001130","2079.1. 9","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",14,6,8,6
4253,"45201","130001140","2079.1.10","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",20,11,9,7
4254,"45201","130001150","2079.1.11","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",10,5,5,6
4255,"45201","130001160","2080.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",25,11,14,12
4256,"45201","130001170","2080.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",48,25,23,27
4257,"45201","130001180","2081.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",39,16,23,17
4258,"45201","130001190","2081.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",19,9,10,7
4259,"45201","130001200","2081.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",42,14,28,14
4260,"45201","130001210","2081.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",13,5,8,5
4261,"45201","130001220","2081.1. 5","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",15,6,9,8
4262,"45201","130001230","2081.1. 6","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",19,9,10,6
4263,"45201","130001240","2081.1. 7","Л{НиМІ","Л{НиОs","Ц{Лљ","ИкТЪЦЏ","01",34,19,15,14
4264,"45201","130002010","2381.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",9,5,4,4
4265,"45201","130002020","2364.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",21,12,9,11
4266,"45201","130002030","2364.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",13,6,7,5
4267,"45201","130002040","2364.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",47,18,29,21
4268,"45201","130002050","2364.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",22,8,14,9
4269,"45201","130002060","2360.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",20,7,13,9
4270,"45201","130002070","2360.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",15,5,10,6
4271,"45201","130002080","2360.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",24,10,14,11
4272,"45201","130002090","2360.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",15,6,9,7
4273,"45201","130002100","2362.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",2,1,1,2
4274,"45201","130002111","2362.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",20,9,11,11
4275,"45201","130002112","2363.4.  ","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",10,3,7,2
4276,"45201","130002120","2362.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",4,1,3,3
4277,"45201","130002130","2362.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",7,3,4,4
4278,"45201","130002140","2362.1. 5","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",37,17,20,15
4279,"45201","130002150","2362.1. 6","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",20,8,12,9
4280,"45201","130002160","2362.1. 7","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",19,9,10,9
4281,"45201","130002170","2362.1. 8","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",5,2,3,4
4282,"45201","130002180","2369.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",19,7,12,9
4283,"45201","130002190","2369.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","УсТЪЦЏ","01",3,1,2,1
4284,"45201","130003010","2360.1. 5","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",24,12,12,12
4285,"45201","130003020","2361.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",11,3,8,6
4286,"45201","130003030","2361.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",10,4,6,4
4287,"45201","130003040","2361.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",7,2,5,3
4288,"45201","130003050","2361.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",11,5,6,4
4289,"45201","130003060","2361.1. 5","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",17,8,9,6
4290,"45201","130003070","2358.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",23,11,12,7
4291,"45201","130003080","2357.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",52,26,26,18
4292,"45201","130003090","2378.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",50,27,23,19
4293,"45201","130003100","2361.1. 6","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",22,11,11,8
4294,"45201","130003110","2360.1. 6","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",15,7,8,7
4295,"45201","130003120","2361.1. 7","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",18,7,11,12
4296,"45201","130003130","2370.1. 1","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",37,17,20,18
4297,"45201","130003140","2361.1. 8","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",29,12,17,12
4298,"45201","130003150","2378.1. 2","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",24,10,14,11
4299,"45201","130003160","2378.1. 3","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",32,16,16,14
4300,"45201","130003170","2378.1. 4","Л{НиМІ","Л{НиОs","Ц{Лљ","ОOТЪЦЏ","01",15,8,7,6
